Group Start,Group End,Time Start,Time End,Temperature (deg C),Dew Point,Relative Humidity,Wind Speed (m per s),Wind Direction,Pressure (hPa),Cloud Cover,Total Radiation,Diffuse Radiation,Direct Radiation
0,0,2022-08-03 00:30:00,2022-08-03 01:30:00,22.3,17.3,0.734,1.3105359566296526,333.434948822922,1007.0,0.0,0.0,0.0,0.0
0,0,2022-08-03 01:30:00,2022-08-03 02:30:00,21.6,16.6,0.734,1.404145667817485,333.434948822922,1007.5,0.0,0.0,0.0,0.0
0,0,2022-08-03 02:30:00,2022-08-03 03:30:00,21.2,15.9,0.716,1.4165719778978014,341.0295921915135,1008.0,0.0,0.0,0.0,0.0
0,0,2022-08-03 03:30:00,2022-08-03 04:30:00,21.5,15.7,0.698,1.2082544515027944,345.96375653207355,1008.4,0.0,40.8,19.4,21.4
0,0,2022-08-03 04:30:00,2022-08-03 05:30:00,22.8,16.1,0.657,0.894940172201685,349.2157021324374,1008.7,0.0,199.5,62.8,136.7
0,0,2022-08-03 05:30:00,2022-08-03 06:30:00,25.0,16.3,0.584,0.6711235286246536,356.4236656250026,1008.8,0.0,386.4,84.9,301.5
0,0,2022-08-03 06:30:00,2022-08-03 07:30:00,27.4,15.9,0.494,0.4623978632082256,354.8055710922652,1008.8,0.0,566.7,98.9,467.8
0,0,2022-08-03 07:30:00,2022-08-03 08:30:00,29.6,15.2,0.415,0.39493980416047586,302.00538320808346,1008.8,0.0,720.5,108.4,612.1
0,0,2022-08-03 08:30:00,2022-08-03 09:30:00,31.6,14.7,0.361,0.6498968387227809,255.06858282186244,1008.8,0.001,832.9,114.7,718.2
0,0,2022-08-03 09:30:00,2022-08-03 10:30:00,33.2,14.4,0.322,0.973720998388156,244.53665493812838,1008.5,0.003,894.8,116.9,777.9
0,0,2022-08-03 10:30:00,2022-08-03 11:30:00,34.2,13.9,0.296,1.2205213086520839,247.83365417791754,1008.0,0.002,899.1,116.6,782.5
0,0,2022-08-03 11:30:00,2022-08-03 12:30:00,34.8,13.6,0.28,1.275292751536304,246.80140948635182,1007.5,0.0,845.7,113.4,732.4
0,0,2022-08-03 12:30:00,2022-08-03 13:30:00,34.9,13.5,0.277,1.1388112873707692,233.9726266148964,1006.9,0.0,742.5,105.9,636.6
0,0,2022-08-03 13:30:00,2022-08-03 14:30:00,34.6,13.7,0.285,0.9808939940421177,219.80557109226518,1006.6,0.0,594.1,96.3,497.8
0,0,2022-08-03 14:30:00,2022-08-03 15:30:00,33.8,14.1,0.306,0.7865444226641356,205.2011236454751,1006.6,0.0,415.0,83.3,331.7
0,0,2022-08-03 15:30:00,2022-08-03 16:30:00,31.8,16.0,0.387,0.7017607321667545,162.64597536373867,1006.9,0.0,224.9,63.6,161.3
0,0,2022-08-03 16:30:00,2022-08-03 17:30:00,28.8,18.3,0.531,1.0398686497523626,139.89909245378774,1007.3,0.0,56.1,25.1,31.0
0,0,2022-08-03 17:30:00,2022-08-03 18:30:00,26.2,19.2,0.656,1.3138749071535951,149.34933204294714,1007.8,0.0,0.0,0.0,0.0
0,0,2022-08-03 18:30:00,2022-08-03 19:30:00,25.0,19.6,0.717,1.1840795938563846,171.86989764584402,1008.6,0.0,0.0,0.0,0.0
0,0,2022-08-03 19:30:00,2022-08-03 20:30:00,24.8,18.8,0.691,1.2711633524007189,197.24145939893998,1009.3,0.0,0.0,0.0,0.0
0,0,2022-08-03 20:30:00,2022-08-03 21:30:00,24.5,17.6,0.656,1.3821308224078954,215.13419305691562,1009.6,0.0,0.0,0.0,0.0
0,0,2022-08-03 21:30:00,2022-08-03 22:30:00,23.9,17.8,0.688,1.2732297260525438,226.33221985386965,1009.7,0.0,0.0,0.0,0.0
0,0,2022-08-03 22:30:00,2022-08-03 23:30:00,23.1,18.6,0.758,1.1052290519148111,232.69605172201656,1009.6,0.0,0.0,0.0,0.0
0,0,2022-08-03 23:30:00,2022-08-04 00:30:00,22.5,19.1,0.813,1.0339530547842415,238.2405199151872,1009.5,0.0,0.0,0.0,0.0
1,1,2022-08-03 00:30:00,2022-08-03 01:30:00,22.4,17.6,0.742,1.1518179515620273,340.90650799951436,1009.3,0.002,0.0,0.0,0.0
1,1,2022-08-03 01:30:00,2022-08-03 02:30:00,21.8,17.0,0.742,1.259389861476246,344.5778386812613,1009.7,0.0,0.0,0.0,0.0
1,1,2022-08-03 02:30:00,2022-08-03 03:30:00,21.2,16.3,0.736,1.2896415276507842,346.86597769360367,1010.1,0.0,0.0,0.0,0.0
1,1,2022-08-03 03:30:00,2022-08-03 04:30:00,21.3,16.1,0.723,1.1676850008717916,345.4655449194599,1010.6,0.0,37.3,18.1,19.3
1,1,2022-08-03 04:30:00,2022-08-03 05:30:00,22.5,16.2,0.674,0.8741362846261275,343.3007557660064,1010.8,0.0,194.3,62.1,132.2
1,1,2022-08-03 05:30:00,2022-08-03 06:30:00,24.7,16.1,0.586,0.5830915772950009,338.9624889745782,1010.7,0.0,382.1,84.0,298.0
1,1,2022-08-03 06:30:00,2022-08-03 07:30:00,26.9,15.4,0.494,0.48820852346083343,329.0362434679265,1010.7,0.0,564.1,98.4,465.7
1,1,2022-08-03 07:30:00,2022-08-03 08:30:00,28.7,15.2,0.438,0.609542277791772,285.94539590092285,1010.7,0.0,720.2,108.0,612.2
1,1,2022-08-03 08:30:00,2022-08-03 09:30:00,30.1,15.3,0.408,0.8052611837916529,261.0273733851036,1010.7,0.0,834.6,113.7,720.9
1,1,2022-08-03 09:30:00,2022-08-03 10:30:00,31.3,15.2,0.379,1.006467654777927,253.07248693585296,1010.4,0.0,898.2,116.2,782.0
1,1,2022-08-03 10:30:00,2022-08-03 11:30:00,32.2,15.1,0.356,1.0884519233646015,247.38013505195957,1010.0,0.0,903.6,115.6,788.0
1,1,2022-08-03 11:30:00,2022-08-03 12:30:00,33.0,15.3,0.345,1.0220191490463328,235.00797980144134,1009.3,0.0,852.1,111.9,740.1
1,1,2022-08-03 12:30:00,2022-08-03 13:30:00,33.5,15.5,0.341,1.0656716344707462,225.0,1008.8,0.0,747.1,106.1,641.1
1,1,2022-08-03 13:30:00,2022-08-03 14:30:00,33.7,15.5,0.338,1.0956735781827112,226.54815769897797,1008.4,0.0,597.9,97.2,500.7
1,1,2022-08-03 14:30:00,2022-08-03 15:30:00,33.5,15.6,0.344,0.9773140770115627,226.7357045889284,1008.3,0.0,418.3,84.2,334.1
1,1,2022-08-03 15:30:00,2022-08-03 16:30:00,32.5,16.3,0.379,0.7998017229869319,222.87890360333853,1008.5,0.0,229.4,64.4,165.0
1,1,2022-08-03 16:30:00,2022-08-03 17:30:00,30.3,16.7,0.439,0.8128428282033812,214.5085229876684,1008.9,0.0,59.7,26.3,33.5
1,1,2022-08-03 17:30:00,2022-08-03 18:30:00,28.2,16.1,0.478,1.126432536173972,221.98721249581666,1009.5,0.0,0.0,0.0,0.0
1,1,2022-08-03 18:30:00,2022-08-03 19:30:00,27.0,15.8,0.503,1.172926319297633,235.1755108430432,1010.4,0.0,0.0,0.0,0.0
1,1,2022-08-03 19:30:00,2022-08-03 20:30:00,26.0,16.3,0.553,1.2446923939145556,227.72631099390628,1011.2,0.0,0.0,0.0,0.0
1,1,2022-08-03 20:30:00,2022-08-03 21:30:00,25.1,17.8,0.638,1.2814619005544574,218.36748538486154,1011.5,0.0,0.0,0.0,0.0
1,1,2022-08-03 21:30:00,2022-08-03 22:30:00,24.3,19.1,0.729,1.0465883878505784,216.86989764584402,1011.5,0.0,0.0,0.0,0.0
1,1,2022-08-03 22:30:00,2022-08-03 23:30:00,23.6,19.7,0.787,0.8711237439553398,215.21759296819272,1011.4,0.0,0.0,0.0,0.0
1,1,2022-08-03 23:30:00,2022-08-04 00:30:00,23.1,20.0,0.829,0.7453590591236138,231.84277341263095,1011.4,0.0,0.0,0.0,0.0
2,2,2022-08-03 00:30:00,2022-08-03 01:30:00,21.1,16.9,0.77,1.1721789943926477,0.0,1002.3,0.0,0.0,0.0,0.0
2,2,2022-08-03 01:30:00,2022-08-03 02:30:00,20.5,16.6,0.78,1.1310904438574882,2.1210963966614713,1002.7,0.0,0.0,0.0,0.0
2,2,2022-08-03 02:30:00,2022-08-03 03:30:00,19.9,16.3,0.793,1.0185837808420348,9.462322208025626,1003.0,0.0,0.0,0.0,0.0
2,2,2022-08-03 03:30:00,2022-08-03 04:30:00,20.0,16.2,0.787,0.9444844113687335,12.804266065286754,1003.5,0.0,34.8,17.2,17.6
2,2,2022-08-03 04:30:00,2022-08-03 05:30:00,21.3,16.2,0.728,0.7639378356315263,9.462322208025626,1003.7,0.0,191.1,62.1,129.0
2,2,2022-08-03 05:30:00,2022-08-03 06:30:00,23.3,16.0,0.636,0.6293469368288496,3.814074834290352,1003.6,0.0,380.8,83.8,297.0
2,2,2022-08-03 06:30:00,2022-08-03 07:30:00,25.5,15.4,0.538,0.5458337228266122,355.6012946450045,1003.6,0.0,565.3,98.3,466.9
2,2,2022-08-03 07:30:00,2022-08-03 08:30:00,27.4,15.2,0.471,0.48820852346083343,300.9637565320735,1003.7,0.0,722.1,107.7,614.4
2,2,2022-08-03 08:30:00,2022-08-03 09:30:00,28.9,15.3,0.437,0.731115216466483,256.7594800848128,1003.7,0.0,837.8,113.5,724.3
2,2,2022-08-03 09:30:00,2022-08-03 10:30:00,30.2,15.0,0.398,1.0763081600499422,256.5042667192042,1003.5,0.0,901.3,116.3,785.0
2,2,2022-08-03 10:30:00,2022-08-03 11:30:00,31.3,14.4,0.359,1.1170584547294382,257.0053832080835,1002.9,0.0,904.9,118.0,786.8
2,2,2022-08-03 11:30:00,2022-08-03 12:30:00,32.4,13.9,0.326,1.1272101907617145,254.9315118405078,1002.2,0.0,857.7,112.6,745.1
